fit_scheme,num_demos,layer,cosine_deployed_vs_control,deployed_direction_l2,control_direction_l2,deployed_pc1_l2,control_pc1_l2,deployed_pc1_share_of_direction_norm,control_pc1_share_of_direction_norm,deployed_pc1_explained_variance,control_pc1_explained_variance,deployed_cosine_pc1_with_mean,control_cosine_pc1_with_mean,deployed_pc1_sign,control_pc1_sign,pc1_sign_agrees_between_arms
global,50,0,0.9980069149915833,0.01940123924364333,0.01924329770370054,0.0005490930445416807,0.0004466368674777729,0.028301957294897387,0.023209996246739115,0.23432807454899718,0.26398773118014096,-0.15964419071155983,0.015759897255907707,-1,1,False
global,50,1,0.9956096087737761,0.023622136472739017,0.023446803068324192,0.000869886138996856,0.0006740236540286235,0.03682504078328151,0.028746932025850713,0.23432807454899718,0.26398773118014096,-0.24826049034668174,-0.10833016425390335,-1,-1,True
global,50,2,0.9892623501817226,0.031201507018175898,0.031374173869027674,0.0013141974349800945,0.0009865789295109848,0.04211967820062446,0.031445574746588864,0.23432807454899718,0.26398773118014096,-0.13996473768279755,0.02227684036653282,-1,1,False
global,50,3,0.9868028976437744,0.03720000133859995,0.03745541696901779,0.0016910000315718857,0.0012095819717577914,0.045456988460300086,0.03229391286067722,0.23432807454899718,0.26398773118014096,-0.04329813918266721,0.039093959116945874,-1,1,False
global,50,4,0.985463901671575,0.0462951781410737,0.047130499981684004,0.0031584233634276166,0.0018268817552090815,0.0682235923966652,0.038762197640997864,0.23432807454899718,0.26398773118014096,-0.15025333180679853,-0.09267070015511158,-1,-1,True
global,50,5,0.9855332092530104,0.0537957467754064,0.05506093997219842,0.003466780890417486,0.0019915903659090267,0.06444340116498543,0.036170656856105765,0.23432807454899718,0.26398773118014096,-0.12239597628625871,-0.07781617058226943,-1,-1,True
global,50,6,0.9895942848634822,0.08936179756879248,0.08999906300802354,0.005050752284909659,0.0033403289190441273,0.056520262822840936,0.037115152173821324,0.23432807454899718,0.26398773118014096,-0.05571118621557248,-0.16670157534577437,-1,-1,True
global,50,7,0.9904738280820353,0.10771349601233793,0.10906963591753453,0.0057202180003397525,0.0037748915667454347,0.05310586149468713,0.03460992177144112,0.23432807454899718,0.26398773118014096,-0.012140513767913223,-0.06460009876673556,-1,-1,True
global,50,8,0.980759115324513,0.15220097795535037,0.15540577899442426,0.007945441854705729,0.00514761161840228,0.052203618934936157,0.03312368209027136,0.23432807454899718,0.26398773118014096,-0.030272198308519956,-0.08452230557901826,-1,-1,True
global,50,9,0.9733242976543108,0.17734088075141033,0.1784284907603263,0.010032375319816171,0.006478838796003747,0.05657113733341142,0.036310562110321465,0.23432807454899718,0.26398773118014096,-0.021265756178798872,-0.06841308690919999,-1,-1,True
global,50,10,0.9632392999609336,0.3011790832180211,0.2933589276833067,0.014715054932520951,0.009561109872975032,0.04885815699846872,0.03259184899699611,0.23432807454899718,0.26398773118014096,0.0819081832465647,0.14676313838995958,1,1,True
global,50,11,0.9399585563123588,0.33118352902595566,0.32155200707930665,0.018690757551511342,0.01451814060417356,0.05643625335620632,0.04515020987131593,0.23432807454899718,0.26398773118014096,0.11971044892231644,0.2849653566547714,1,1,True
global,50,12,0.8904516279625292,0.4839718736469927,0.46802790072954303,0.035064397779862554,0.027980908482976925,0.07245131316337279,0.05978470180807899,0.23432807454899718,0.26398773118014096,0.2839978870679184,0.47040778680566325,1,1,True
global,50,13,0.857545620309048,0.5977260119839671,0.5442108218481596,0.045284637764258256,0.03509600737104976,0.07576153096290701,0.06448972707279589,0.23432807454899718,0.26398773118014096,0.23957479672576223,0.4888229958574055,1,1,True
global,50,14,0.7774179425028365,0.7192794761390312,0.6065953071462736,0.056746569662218686,0.04604173334155476,0.07889363111933144,0.07590189505118,0.23432807454899718,0.26398773118014096,0.2933529565629581,0.4997337612918112,1,1,True
global,50,15,0.7581499388579886,0.7659977358973487,0.6729841587740263,0.06685056221363321,0.0543984329234267,0.08727253238590754,0.0808316692365006,0.23432807454899718,0.26398773118014096,0.31386009685651606,0.5107976980631891,1,1,True
