fit_scheme,num_demos,layer,cosine_deployed_vs_control,deployed_direction_l2,control_direction_l2,deployed_pc1_l2,control_pc1_l2,deployed_pc1_share_of_direction_norm,control_pc1_share_of_direction_norm,deployed_pc1_explained_variance,control_pc1_explained_variance,deployed_cosine_pc1_with_mean,control_cosine_pc1_with_mean,deployed_pc1_sign,control_pc1_sign,pc1_sign_agrees_between_arms
global,50,0,0.9699630681218938,0.14003022781290853,0.14192323841544868,0.0005522226104464194,0.001525009662423069,0.0039435957440862885,0.01074531330773994,0.6812575648447721,0.3553803244566516,-0.06494412320537353,0.13422500450002758,-1,1,False
global,50,1,0.9703990104310758,0.19379508896908917,0.19329915678233298,0.0008597795757242016,0.0021738999456923863,0.004436539544411978,0.011246298131245005,0.6812575648447721,0.3553803244566516,-0.04792210511616593,-0.010384364930674374,-1,-1,True
global,50,2,0.9669347927644809,0.2538101342220653,0.2508814933278549,0.001055855727715622,0.002648592963551622,0.004160021942984458,0.01055714763340638,0.6812575648447721,0.3553803244566516,-0.15099067034175967,-0.0121196433065205,-1,-1,True
global,50,3,0.9530024373370675,0.29472400258288245,0.3022959919371758,0.0013366624894702306,0.0031201873637826875,0.00453530244485036,0.010321629948805724,0.6812575648447721,0.3553803244566516,-0.16473020103282818,-0.08972935129762998,-1,-1,True
global,50,4,0.9464310616359869,0.37859838504848675,0.3948223430514034,0.0017282107190733059,0.004111957247720033,0.00456475988098041,0.010414702511363907,0.6812575648447721,0.3553803244566516,-0.08765975367560404,-0.09556366924501283,-1,-1,True
global,50,5,0.9528985862382644,0.5484736684477903,0.5388351939826342,0.0021733627280732227,0.004825114545874056,0.0039625653027682345,0.008954713054673933,0.6812575648447721,0.3553803244566516,-0.10834982787664267,0.03868654686382259,-1,1,False
global,50,6,0.9511680901653558,0.5861809729387438,0.580119542291949,0.002314805415015881,0.005063460322961023,0.003948960341395761,0.00872830503684843,0.6812575648447721,0.3553803244566516,-0.13083838194129907,0.04574098745155583,-1,1,False
global,50,7,0.9414549031686841,0.6784060221806456,0.6565443580245741,0.0027879354700624305,0.0060626697816595805,0.004109538210024999,0.00923421198820607,0.6812575648447721,0.3553803244566516,-0.073439591540204,0.057946347844210495,-1,1,False
global,50,8,0.9218532159016077,0.7812158642566855,0.7411250825668722,0.003347112084597325,0.007212253466341951,0.004284490673755133,0.009731492882905073,0.6812575648447721,0.3553803244566516,-0.04527983297813415,0.07250500985092716,-1,1,False
global,50,9,0.9531735793185417,1.1917080693125426,1.111770383517207,0.004052413323546271,0.009796964631228772,0.003400508419720591,0.008812039587018863,0.6812575648447721,0.3553803244566516,-0.22269152501744416,-0.09127125374776089,-1,-1,True
global,50,10,0.9482933799232849,1.2295933357198439,1.162792855537497,0.004193156001737472,0.009404640914435854,0.003410197404235818,0.008087976177053988,0.6812575648447721,0.3553803244566516,-0.28951036304897443,-0.0817892279533094,-1,-1,True
global,50,11,0.9440363639511905,1.4207590484437227,1.3455509310736766,0.004795241721817074,0.010809706108689709,0.003375126645907839,0.008033665511318958,0.6812575648447721,0.3553803244566516,-0.3232723240994988,-0.09333304767768515,-1,-1,True
global,50,12,0.9268704566374149,1.5306606841778099,1.382684688375665,0.005147193341377125,0.011469961324911173,0.003362726562838403,0.008295428033115582,0.6812575648447721,0.3553803244566516,-0.3169655691300201,-0.11728215396172106,-1,-1,True
global,50,13,0.8976504559540364,1.5885360083624174,1.4408477723180138,0.00576751491070154,0.012536260001550201,0.003630710843405513,0.0087006137930741,0.6812575648447721,0.3553803244566516,-0.26240962861892325,-0.08944604328094911,-1,-1,True
global,50,14,0.8957562527969735,1.9970986822080308,1.7218654069434838,0.006676823117929548,0.014264560219292665,0.003343261490988279,0.008284364249244057,0.6812575648447721,0.3553803244566516,-0.12183261876611569,-0.09126838704107272,-1,-1,True
global,50,15,0.8381299174427763,2.243100226503948,1.8913590080128329,0.007978914255794972,0.01599431996012233,0.003557092171592685,0.008456522475300368,0.6812575648447721,0.3553803244566516,0.017214461430391514,-0.13046702370501778,1,-1,False
global,50,16,0.7888025409447803,2.43239538986134,1.9221118610968115,0.010048087688208023,0.01938586024754949,0.004130943402577662,0.010085708662391463,0.6812575648447721,0.3553803244566516,0.13207023075241062,-0.07697920256764183,1,-1,False
global,50,17,0.7116110648731957,3.3116413922541006,2.167736878267644,0.01716119481177571,0.029893962461328437,0.00518208126396644,0.013790401760022794,0.6812575648447721,0.3553803244566516,0.4670996659645018,0.05416023513620727,1,1,True
global,50,18,0.6732394375547112,8.891280402200648,3.120067415773922,0.059805136483572816,0.06772064222143763,0.0067262681839131595,0.02170486505485964,0.6812575648447721,0.3553803244566516,0.8709660360163521,0.4433688553123024,1,1,True
global,50,19,0.6861612464818007,12.94505836640666,3.776332185454871,0.0983589539508496,0.10865544505334461,0.007598185436235501,0.02877274554178467,0.6812575648447721,0.3553803244566516,0.9136765518774743,0.58698148227611,1,1,True
global,50,20,0.6156395306003969,18.984318092000287,4.659242818564287,0.15205883311314125,0.16174214217877872,0.008009707400405212,0.03471425475708914,0.6812575648447721,0.3553803244566516,0.9208347679106302,0.6461953059232437,1,1,True
global,50,21,0.5947280550199123,24.71537654980899,5.631400196157013,0.20821064983779594,0.21380202284340594,0.008424336542807198,0.03796605025324057,0.6812575648447721,0.3553803244566516,0.9143532742055162,0.6942169079618629,1,1,True
global,50,22,0.5615241257933452,32.33668967884685,6.799201967208743,0.2751561478174833,0.2685477008172149,0.008509100670173965,0.03949694421674328,0.6812575648447721,0.3553803244566516,0.9188177353925011,0.7023530890938117,1,1,True
global,50,23,0.5431334393303188,39.56123371760433,8.272616421190666,0.345441598823928,0.3355798779958777,0.008731820683089824,0.04056514419504273,0.6812575648447721,0.3553803244566516,0.9203341919150372,0.7061020761281693,1,1,True
global,50,24,0.5144882226471013,46.97984458342964,9.544529905251304,0.41008325737053747,0.39979161113281336,0.008728918986572782,0.041886988159872816,0.6812575648447721,0.3553803244566516,0.9239703931620658,0.6776397354588314,1,1,True
global,50,25,0.5149803509026837,53.294862569162156,11.711563883897274,0.4643964634926244,0.4739922547885691,0.008713719129868566,0.040472157218924554,0.6812575648447721,0.3553803244566516,0.9109952645981857,0.7200960234339788,1,1,True
global,50,26,0.5273006753599017,60.18712157470291,13.14433534970823,0.5186711675149982,0.5256504747739641,0.008617643674340451,0.03999064698129694,0.6812575648447721,0.3553803244566516,0.9094454720434532,0.7475777337556271,1,1,True
global,50,27,0.4299891007012393,32.90952445431379,6.392809892929538,0.2678192300374708,0.25238339237402796,0.008138046188095709,0.039479258198052244,0.6812575648447721,0.3553803244566516,0.8975383806366317,0.6770776214099643,1,1,True
global,100,0,0.9968862462722542,0.19517884098849037,0.19295875813343752,0.0008454967538064512,0.0009991124479876747,0.0043319078519187945,0.005177854882838511,0.7073857356181967,0.4623872691478391,0.6688777875550658,-0.3769287290177169,1,-1,False
global,100,1,0.9959179867061877,0.30390696830003205,0.29964285675593055,0.001358645784456879,0.001668087708016356,0.00447059767025663,0.0055669196525351215,0.7073857356181967,0.4623872691478391,0.7475344446690768,-0.37806704333174584,1,-1,False
global,100,2,0.9945989789520991,0.3443150492931721,0.3455924089375417,0.0015283786936745338,0.002007160202872169,0.004438895996013156,0.005807882786091288,0.7073857356181967,0.4623872691478391,0.6363175371430536,-0.20511372531129815,1,-1,False
global,100,3,0.9938955279411548,0.4054519549422669,0.408058998868083,0.0017760205820659429,0.002309485127462162,0.004380347807963669,0.005659684344343477,0.7073857356181967,0.4623872691478391,0.5535620618907863,-0.07572206352517556,1,-1,False
global,100,4,0.9903580107783613,0.48052873747412217,0.48114303587595786,0.0022790492611336963,0.0027517516696053098,0.004742794932751404,0.005719196713708086,0.7073857356181967,0.4623872691478391,0.25562738864898776,0.08876002249153722,1,1,True
global,100,5,0.9721929941666045,0.6787017669623685,0.6425938481543765,0.0024596414534619635,0.003584609318610037,0.0036240386767673488,0.005578343659693536,0.7073857356181967,0.4623872691478391,0.22034724086887553,0.04995551646041729,1,1,True
global,100,6,0.9683047829329136,0.7148332751332132,0.6689442662693132,0.0025989094255047633,0.0038601901829302043,0.003635686132574679,0.005770570700094936,0.7073857356181967,0.4623872691478391,0.2651073876934026,-0.02269584048889024,1,-1,False
global,100,7,0.9665202779184157,0.8204716394495702,0.7570457827453293,0.0028633951834956,0.004645343289118183,0.003489938037854137,0.006136145785361148,0.7073857356181967,0.4623872691478391,0.21786002819406103,-0.12093474448958612,1,-1,False
global,100,8,0.9654371936620951,0.975513930848787,0.8819559770012461,0.0031797157375905646,0.005776315925766737,0.003259528784815937,0.006549437927057187,0.7073857356181967,0.4623872691478391,0.20987460382607404,-0.11838401988439713,1,-1,False
global,100,9,0.9671466773542506,1.345172890058817,1.2013241034047237,0.0038515893368374007,0.00623533488484428,0.002863267142314318,0.005190385231739255,0.7073857356181967,0.4623872691478391,0.09220875224633902,-0.12793262794737473,1,-1,False
global,100,10,0.9633021700039477,1.4098871276323734,1.2578267334365225,0.0036535797318305676,0.00660604944942693,0.0025913987440725358,0.005251955037859998,0.7073857356181967,0.4623872691478391,0.17787849370427333,-0.2144483053324817,1,-1,False
global,100,11,0.9658795020294793,1.722067861900713,1.511483656595354,0.004131993857318251,0.0076040427048649824,0.0023994372978760597,0.005030846791948274,0.7073857356181967,0.4623872691478391,0.2307541211500325,-0.2745071397624003,1,-1,False
global,100,12,0.956713296500083,1.808378332458373,1.553856278669992,0.004132540807665764,0.00853596283438649,0.0022852191565731947,0.005493405633172691,0.7073857356181967,0.4623872691478391,0.24132175213678284,-0.2645881256883936,1,-1,False
global,100,13,0.9457055076813382,1.9871659542565192,1.739160868665462,0.004477111892514524,0.009142277252440396,0.002253013585968765,0.0052567174303178085,0.7073857356181967,0.4623872691478391,0.25404058644656213,-0.18996976172633864,1,-1,False
global,100,14,0.9449856585921182,2.4768081849750185,2.051019435632966,0.005048462422527761,0.010669949849417285,0.002038293660830534,0.005202266572439587,0.7073857356181967,0.4623872691478391,0.27016444023102554,-0.25405700374276424,1,-1,False
global,100,15,0.902148147162841,2.783389795049182,2.251190118478217,0.006606116063551777,0.014179065657488683,0.0023734067270427166,0.006298475433551386,0.7073857356181967,0.4623872691478391,0.38203479149858643,-0.20240640552652442,1,-1,False
global,100,16,0.8407851843397849,3.036687652183393,2.2744208366917946,0.008797076067219878,0.017670750187992638,0.002896931484176431,0.007769340617585624,0.7073857356181967,0.4623872691478391,0.5041598977308851,-0.18379643079174499,1,-1,False
global,100,17,0.6831238935056615,4.060853856457095,2.479251458582616,0.017045976091282597,0.02924248965639502,0.004197633476560127,0.011794886539307678,0.7073857356181967,0.4623872691478391,0.6592278127534142,-0.09745004080310438,1,-1,False
global,100,18,0.5858201549549887,10.547240140403293,3.3734327782425457,0.05923683778922791,0.06896933165961384,0.005616335363628393,0.020444851340877982,0.7073857356181967,0.4623872691478391,0.9080458189575237,-0.3818237016598602,1,-1,False
global,100,19,0.5626405465629116,15.022136426545934,3.960963878958387,0.09243638381491781,0.11043690799210028,0.006153344716772212,0.027881321659803126,0.7073857356181967,0.4623872691478391,0.940573017284806,-0.48144447381445366,1,-1,False
