fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
global,100,28,0.9474882214450986,0.9474882214450984,1,1,False,True
global,100,29,0.9491375984735151,0.9491375984735148,1,1,False,True
global,100,30,0.9552248034912808,0.955224803491281,1,1,False,True
global,100,31,0.9596733721113229,0.9596733721113222,1,1,False,True
global,200,0,0.999123912919889,0.999123912919889,1,1,False,True
global,200,1,0.9980069080576794,0.9980069080576792,1,1,False,True
global,200,2,0.9960591077524148,0.9960591077524149,1,1,False,True
global,200,3,0.9957426733530742,0.9957426733530742,1,1,False,True
global,200,4,0.9956226429594816,0.9956226429594813,1,1,False,True
global,200,5,0.9960003108795387,0.9960003108795389,1,1,False,True
global,200,6,0.9976470670117634,0.9976470670117634,1,1,False,True
global,200,7,0.9961752671918693,0.9961752671918693,1,1,False,True
global,200,8,0.9852714135662142,0.9852714135662138,1,1,False,True
global,200,9,0.9792300025524744,0.9792300025524744,1,1,False,True
global,200,10,0.9698694289278135,0.9698694289278131,1,1,False,True
global,200,11,0.9551074460163795,0.9551074460163791,1,1,False,True
global,200,12,0.9059087717017933,0.9059087717017935,1,1,False,True
global,200,13,0.8580344535113893,0.8580344535113889,1,1,False,True
global,200,14,0.7823134163930621,0.7823134163930617,1,1,False,True
global,200,15,0.7486497990611909,0.7486497990611907,1,1,False,True
global,200,16,0.7679122990222477,0.7679122990222473,1,1,False,True
global,200,17,0.7812719279477572,0.7812719279477569,1,1,False,True
global,200,18,0.8055129304556115,0.8055129304556113,1,1,False,True
global,200,19,0.8130356541354465,0.8130356541354461,1,1,False,True
global,200,20,0.827716217769959,0.8277162177699586,1,1,False,True
global,200,21,0.8705206428809108,0.8705206428809108,1,1,False,True
global,200,22,0.8765737194978461,0.8765737194978456,1,1,False,True
global,200,23,0.8789093363837361,0.878909336383736,1,1,False,True
global,200,24,0.8830093583652484,0.883009358365248,1,1,False,True
global,200,25,0.8926220175924463,0.8926220175924461,1,1,False,True
global,200,26,0.9093345633905319,0.9093345633905316,1,1,False,True
global,200,27,0.9243430414651103,0.9243430414651099,1,1,False,True
global,200,28,0.9254055183404902,0.92540551834049,1,1,False,True
global,200,29,0.9269897408740787,0.9269897408740781,1,1,False,True
global,200,30,0.9341250220687227,0.9341250220687227,1,1,False,True
global,200,31,0.9237177672275917,0.9237177672275912,1,1,False,True
global,500,0,0.9977324269171508,0.9995459805545053,1,-1,True,False
global,500,1,0.9974217750553737,0.9991762898110861,1,-1,True,False
global,500,2,0.9968039073504675,0.9985534505010889,1,-1,True,False
global,500,3,0.9967499355874619,0.9984262999132001,1,-1,True,False
global,500,4,0.9962321571678865,0.9980645632775943,1,-1,True,False
global,500,5,0.9966884952110384,0.9982968017582047,1,-1,True,False
global,500,6,0.9975928321249415,0.9986019190568417,1,-1,True,False
global,500,7,0.995432922584379,0.9972183420724843,1,-1,True,False
global,500,8,0.9850459777754844,0.9872772919996439,1,-1,True,False
global,500,9,0.9782099393926528,0.9804995258162086,1,-1,True,False
global,500,10,0.9693388510300904,0.9720285156421876,1,-1,True,False
global,500,11,0.957364986246814,0.9604392889651436,1,-1,True,False
global,500,12,0.9127003858982001,0.9175007637977984,1,-1,True,False
global,500,13,0.8812104819926487,0.8941773103571945,1,-1,True,False
global,500,14,0.8117380694197643,0.8327456331684353,1,-1,True,False
global,500,15,0.7911734436821387,0.816277302656143,1,-1,True,False
global,500,16,0.8118880944556575,0.8346132677645095,1,-1,True,False
global,500,17,0.8282612143682747,0.8481065810413004,1,-1,True,False
global,500,18,0.8497030420608865,0.8678590390964146,1,-1,True,False
global,500,19,0.8593080495238922,0.8776103512967973,1,-1,True,False
global,500,20,0.8737587973423484,0.8908012811604331,1,-1,True,False
global,500,21,0.9057761601668117,0.9186713828780482,1,-1,True,False
global,500,22,0.9103051620680617,0.9227243362594468,1,-1,True,False
global,500,23,0.9120647412165288,0.922800140594636,1,-1,True,False
global,500,24,0.9152791382290432,0.9256859320471639,1,-1,True,False
global,500,25,0.9205786042802553,0.9293496270277531,1,-1,True,False
global,500,26,0.9325364811579965,0.9391725562945561,1,-1,True,False
global,500,27,0.9434533182732402,0.9481024486478756,1,-1,True,False
global,500,28,0.9445266450515234,0.9490762314532265,1,-1,True,False
global,500,29,0.9463906401498251,0.9508518009521496,1,-1,True,False
global,500,30,0.9518956813290841,0.9560259182957717,1,-1,True,False
global,500,31,0.9369198351164183,0.9474068235978699,1,-1,True,False
perlayer,50,0,0.997136522524397,0.9971365225243971,1,1,False,True
perlayer,50,1,0.9943162397298736,0.9943162397298735,-1,-1,False,True
perlayer,50,2,-0.9832465082299042,0.986826714382787,-1,1,True,False
perlayer,50,3,-0.9801984891503074,0.9856540838455354,-1,1,True,False
