fit_scheme,num_demos,layer,cosine_as_is,cosine_pc1_sign_aligned,deployed_pc1_sign,control_pc1_sign_as_is,control_pc1_flipped,pc1_sign_agreed_as_is
global,50,0,0.9699630682446851,0.9704518774139038,-1,1,True,False
global,50,1,0.9703990105714447,0.9703990105714447,-1,-1,False,True
global,50,2,0.9669347930407143,0.9669347930407138,-1,-1,False,True
global,50,3,0.953002437929864,0.9530024379298639,-1,-1,False,True
global,50,4,0.9464310613696464,0.9464310613696459,-1,-1,False,True
global,50,5,0.9528985860766476,0.9522736007639894,-1,1,True,False
global,50,6,0.951168090309735,0.9505911743101997,-1,1,True,False
global,50,7,0.9414549031170796,0.9409312092514257,-1,1,True,False
global,50,8,0.9218532161031445,0.9218321981529469,-1,1,True,False
global,50,9,0.9531735795664101,0.9531735795664104,-1,-1,False,True
global,50,10,0.9482933801504834,0.9482933801504834,-1,-1,False,True
global,50,11,0.9440363640204023,0.9440363640204025,-1,-1,False,True
global,50,12,0.9268704560220478,0.9268704560220478,-1,-1,False,True
global,50,13,0.8976504566299559,0.8976504566299561,-1,-1,False,True
global,50,14,0.8957562535730534,0.895756253573053,-1,-1,False,True
global,50,15,0.8381299171100597,0.8369884498172186,1,-1,True,False
global,50,16,0.7888025423467404,0.7852443322940211,1,-1,True,False
global,50,17,0.7116110643116973,0.7116110643116975,1,1,False,True
global,50,18,0.6732394391921187,0.6732394391921185,1,1,False,True
global,50,19,0.6861612473297334,0.6861612473297336,1,1,False,True
global,50,20,0.6156395311816977,0.6156395311816978,1,1,False,True
global,50,21,0.5947280548045019,0.5947280548045019,1,1,False,True
global,50,22,0.5615241259186745,0.5615241259186745,1,1,False,True
global,50,23,0.5431334392963866,0.5431334392963866,1,1,False,True
global,50,24,0.51448822240963,0.5144882224096301,1,1,False,True
global,50,25,0.514980351090818,0.514980351090818,1,1,False,True
global,50,26,0.5273006748781048,0.5273006748781048,1,1,False,True
global,50,27,0.42998910108379274,0.4299891010837926,1,1,False,True
global,100,0,0.9968862463682807,0.9971749740360025,1,-1,True,False
global,100,1,0.995917986925762,0.9963430301949208,1,-1,True,False
global,100,2,0.9945989788383571,0.9950448600032081,1,-1,True,False
global,100,3,0.9938955277930398,0.9942540647744094,1,-1,True,False
global,100,4,0.9903580108941439,0.990358010894144,1,1,False,True
global,100,5,0.9721929940482996,0.9721929940482998,1,1,False,True
global,100,6,0.9683047830224057,0.9694426659632235,1,-1,True,False
global,100,7,0.9665202778995714,0.967561210122032,1,-1,True,False
global,100,8,0.9654371935039052,0.9664430093757193,1,-1,True,False
global,100,9,0.967146677671958,0.9677906004184427,1,-1,True,False
global,100,10,0.9633021698333103,0.9638516464201149,1,-1,True,False
global,100,11,0.9658795023796627,0.9664098268313823,1,-1,True,False
global,100,12,0.9567132967417019,0.9577682694980792,1,-1,True,False
global,100,13,0.9457055074265773,0.9469205674339222,1,-1,True,False
global,100,14,0.9449856589848125,0.9464009113946096,1,-1,True,False
global,100,15,0.9021481471201542,0.9051044517469766,1,-1,True,False
global,100,16,0.8407851832389719,0.8458339470739752,1,-1,True,False
global,100,17,0.683123892856691,0.6951623966852677,1,-1,True,False
global,100,18,0.5858201552385695,0.6067679069333186,1,-1,True,False
global,100,19,0.5626405464806914,0.58994805328304,1,-1,True,False
global,100,20,0.45811832877738423,0.4901251084073527,1,-1,True,False
global,100,21,0.3876087460447615,0.42082066921512434,1,-1,True,False
global,100,22,0.26633225079796063,0.30497930856133976,1,-1,True,False
global,100,23,0.23186502496061892,0.2749536305380343,1,-1,True,False
global,100,24,0.16506830697729002,0.2118302700466785,1,-1,True,False
global,100,25,0.20813138916152626,0.2503889933332299,1,-1,True,False
global,100,26,0.2408801505501966,0.28092166465053703,1,-1,True,False
global,100,27,0.16676903482416483,0.21036893422112904,1,-1,True,False
global,200,0,0.996194492831768,0.9961060113236687,1,-1,True,False
global,200,1,0.9929529060610887,0.9928700195567491,1,-1,True,False
global,200,2,0.9905438952950862,0.9903604446003859,1,-1,True,False
global,200,3,0.9902574172227642,0.9900167349012492,1,-1,True,False
global,200,4,0.9798134667931535,0.9790274836297772,1,-1,True,False
global,200,5,0.9595204672409418,0.9595204672409418,1,1,False,True
global,200,6,0.9570364189444329,0.9570364189444328,1,1,False,True
global,200,7,0.9501990345289242,0.9501990345289238,1,1,False,True
global,200,8,0.9529935349972047,0.9529935349972047,1,1,False,True
global,200,9,0.954787598978242,0.9547875989782424,1,1,False,True
global,200,10,0.9464525622988518,0.9464525622988518,1,1,False,True
global,200,11,0.9455486132761142,0.9455486132761136,1,1,False,True
global,200,12,0.9241743082871479,0.9241743082871477,1,1,False,True
global,200,13,0.9047188110670741,0.9047188110670739,1,1,False,True
global,200,14,0.9086897620887062,0.9086897620887059,1,1,False,True
global,200,15,0.8364958643078066,0.8364958643078068,1,1,False,True
global,200,16,0.7646850803755655,0.7646850803755655,1,1,False,True
global,200,17,0.6384202274993368,0.6384202274993367,1,1,False,True
global,200,18,0.5164547134917128,0.5164547134917131,1,1,False,True
global,200,19,0.48728176931101125,0.48728176931101125,1,1,False,True
global,200,20,0.38202178128008235,0.3820217812800824,1,1,False,True
global,200,21,0.35397721868623694,0.3539772186862368,1,1,False,True
global,200,22,0.27743728460820605,0.277437284608206,1,1,False,True
global,200,23,0.23896507294764055,0.23896507294764052,1,1,False,True
global,200,24,0.1745990486362879,0.17459904863628792,1,1,False,True
global,200,25,0.21282826301970165,0.2128282630197016,1,1,False,True
