layer,cosine,deployed_norm,shuffled_norm,deployed_pc1_norm,shuffled_pc1_norm
0,0.9994780896713238,0.021243937153222363,0.02132753927061696,0.0009062386772470866,0.0007516907811778624
1,0.9986264880512872,0.024774961839058595,0.024891743190174197,0.0010520151499221317,0.0008855462429259547
2,0.9969051274560866,0.0346943717584826,0.03445184727031137,0.0014191255334375498,0.0011982387989892716
3,0.9968183262697533,0.04183999313794748,0.04155542940424107,0.001644763358290578,0.0014020639979432014
4,0.9963260703509987,0.05213492897075394,0.05174712142632919,0.001978495154156687,0.0016990659452342139
5,0.9964831794210125,0.060560435531335166,0.06051990204036969,0.0022049701202834764,0.0018721355852478437
6,0.997252784364019,0.09980337153724825,0.09961519320039043,0.0030959877669135194,0.002721773961307567
7,0.9963981837489868,0.12027038291778587,0.12013094794509467,0.0043249474118837086,0.0038253524293464943
8,0.9849690316843355,0.17486444050427388,0.17728300453227477,0.005973636104789242,0.005134545634526184
9,0.9764267936498261,0.21805015524387045,0.21641451695285266,0.007202521324597017,0.006359974057552636
10,0.966131919514039,0.3572772535756567,0.34010340261332395,0.012701874381991527,0.011446948701384132
11,0.9474352174164292,0.3753553143839849,0.3537483598486498,0.014690311744578981,0.013606058304047807
12,0.9097421530187466,0.5394705063999642,0.5248687590058402,0.025246600999441343,0.026271321505961887
13,0.8824722066835187,0.6954461360953119,0.627173943054936,0.03757530489208772,0.038142220752957263
14,0.835377918598925,0.8189150393500201,0.7134215647590338,0.04812549128241054,0.04811674579603757
15,0.8209307273451889,0.9076487180942001,0.8091381265514642,0.05941960130169181,0.059431868140394924
16,0.8448823831807147,1.1063114594693395,0.9958429594144482,0.08073485132751958,0.08328403300775733
17,0.8604362503866435,1.1904727483783843,1.1081086998973884,0.09345886281919995,0.09746798655365782
18,0.8827234140739125,1.3869832047627113,1.299132564144857,0.11499354866437381,0.11603168113032977
19,0.8924603875406868,1.5247501064318014,1.4334392754018492,0.13378624298566763,0.13356532520495198
20,0.9054345283653683,1.6971530312310823,1.594752746116383,0.15210052248021094,0.14887673652885244
21,0.9301269628291128,2.1139608915516916,2.010640261953091,0.18212191669555483,0.1785236704805937
22,0.9336874922596385,2.2729551239203833,2.150510149908652,0.19675584198264745,0.19422051790494022
23,0.9344958147375176,2.437123711638225,2.323683651650144,0.21256055910009475,0.21432716907905164
24,0.9365731929379235,2.597811465091157,2.4808725934829634,0.22975185375796686,0.23187259454952433
25,0.9405053376675886,2.8303382478780117,2.6938242060263184,0.24752860900145293,0.24928169974539713
26,0.9486754146100391,3.2401881542763222,3.106240559294313,0.27908795270819586,0.2792921585504666
27,0.9555065396884729,3.758228940360206,3.5890311035985762,0.31406226529571285,0.3145505600906795
28,0.9557404423673919,4.0024619714781755,3.8416249330836987,0.33641710280704445,0.34019192757159655
29,0.9564532955150549,4.357831410913267,4.18298516702887,0.3687533033642852,0.37025802997105184
30,0.9600622238240717,5.101406337609863,4.898595374193882,0.4283459110770238,0.42797395939246585
31,0.9465289708714314,3.483521739864203,3.2294810278669877,0.2860174541131809,0.27807094550506756
