layer,cosine,deployed_norm,shuffled_norm,deployed_pc1_norm,shuffled_pc1_norm
0,0.9976248817544621,0.16701559035138638,0.1685910449667856,0.000389768067770814,0.0009859751974110554
1,0.9952596898574063,0.25845146815786446,0.2589884551850522,0.0006412349329667826,0.001588117586360829
2,0.9925575454583623,0.2889366796974177,0.2911683138546867,0.000763355266357208,0.0018522452579690146
3,0.9926826190528949,0.33967736576012564,0.34427988043071733,0.0008489216710118925,0.002129812863082733
4,0.9850320206428199,0.4135276261877911,0.4093785130764528,0.0011290874582649659,0.002819525094631209
5,0.953380587374508,0.6106672987185819,0.5589648148225769,0.0013589978139593058,0.003387991906568405
6,0.9509666609409319,0.6630118433126182,0.599884452920395,0.0014408441015714287,0.0033323867681922473
7,0.9457085529120594,0.75810761660483,0.6739913312842581,0.0017497058023104185,0.003681702021695087
8,0.9455251014129689,0.8898553584365566,0.7859626571843309,0.00216689387849574,0.004316413050699562
9,0.9558711000991407,1.225139405269827,1.0822432090976573,0.0025069512907524155,0.004594874089872803
10,0.9500668428652572,1.2625982361451287,1.1000184095941248,0.002894846447892951,0.00482861838615416
11,0.951978872223165,1.4948725916423211,1.2847146193817127,0.003343094301523477,0.0057897206262910806
12,0.9324268302288946,1.578767686862806,1.3095685154140253,0.003571619299742044,0.006222093984786436
13,0.9202308104759899,1.6952764067205144,1.4297438002598668,0.0039316172555991175,0.006950797846844053
14,0.9239193707770791,2.1535000290279758,1.7527402201754476,0.004693787215736081,0.008565241488659716
15,0.8664104269027136,2.4456351864002634,1.9395252331269495,0.005888295207425032,0.010969665264329558
16,0.8036666689142528,2.7152358938848424,1.9790908161331995,0.007959665173406962,0.013927011072790351
17,0.7013129759989952,3.6382976371261715,2.186660713058113,0.015055852480498119,0.020885031897517357
18,0.5895685214294563,9.424370052631476,2.980917960650772,0.056456707808342485,0.05935534145496828
19,0.5844321000704376,13.492837953732334,3.404026445100806,0.09064395076249485,0.10152145527240614
20,0.538959157856317,19.93939472858504,4.161954718020271,0.1428881373356343,0.15687037621807048
21,0.5141075210289746,26.17023326523815,5.143865119095678,0.19636119676989996,0.211352267385269
22,0.46462192557127535,34.71032614683064,6.173048466296436,0.2692831952913999,0.2668679335580295
23,0.4326562030937897,42.70280803715101,7.500365790888513,0.34211138173648115,0.3370943776706096
24,0.3820315856936619,50.95137021605009,8.637745123559503,0.4124513645176234,0.4001544709522036
25,0.3988321662635582,57.91351830413167,10.493997540122638,0.46693245761897983,0.4699818584605556
26,0.4194068667096552,65.53219244709251,11.827380914147776,0.523390716067151,0.5258852370492864
27,0.32927985977258056,36.30978426958932,5.702346563836416,0.2785188989483916,0.27095540486879316
